RHUID, HousingCategory, Location, StayPeriod, CostPerBed, Capacity, EmergencyCapacity, ShortTermBeds, Address, Phone, Email, Contact, ManagementGroup, Gender, Licensees, SuitableForSexOffenders, NighttimeCurfew, WeekendCurfew, MedicalServiceAccess, TransportLinks, CulturalReligeousServices, MentalHealthSuitable, Employment, FamilyAccess, FutureExpansion1, FutureExpansion2, FutureExpansion3, StudentSuggested1, StudentSuggested2, Notes, 
0, C, X862Y6120, 180, 19.70, 28, 66, 8, Studio 33MJennifer GreenPort AnnettetownBB6H 4EH, 9486335, RHU0@email.com, Dr Thomas Pollard, [], Mixed, [], False, True, True, False, Bus, Prayer room, False, False, True, [], [], [], [], [], [], 
1, B, X9681Y3045, 365, 16.60, 28, 49, 6, 56 Yvonne CurvePaulinelandM6T 5TQ, 2507380, RHU1@email.com, Benjamin Newman, [], Mixed, [], True, True, True, False, Bus, Prayer room, True, False, True, [], [], [], [], [], [], 
2, A, X2833Y9785, 365, 27.42, 28, 78, 2, 0 Parkinson PlainsSallylandPE4N 4SS, 3411007, RHU2@email.com, Duncan Gough, [], Mixed, [], False, False, False, True, Bus, Chapel, False, False, True, [], [], [], [], [], [], 
3, D, X4450Y7983, 90, 64.48, 28, 56, 7, 26 Liam RueEast NigeltonHG3 9UZ, 7046144, RHU3@email.com, Mr Shaun Richards, [], Male, [], True, False, True, True, Bus, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
4, A, X2033Y475, 180, 14.90, 28, 56, 10, 4 Wright PlainsThomaschesterE0U 2FE, 9010375, RHU4@email.com, Donald Smith, [], Female, [], True, False, False, False, Bus, Chapel + Prayer room, True, False, True, [], [], [], [], [], [], 
5, B, X9740Y188, 90, 75.97, 28, 58, 6, Studio 3Cheryl CourtEast KieranDT1E 3SJ, 9308056, RHU5@email.com, Natasha Thompson, [], Mixed, [], False, False, True, False, Bus, Chapel + Prayer room, True, True, False, [], [], [], [], [], [], 
6, B, X4736Y2965, 180, 47.6, 28, 66, 4, 9 Martin RapidFionaviewSP96 2TS, 5183865, RHU6@email.com, Tina Graham-Dixon, [], Mixed, [], False, True, True, False, None, Prayer room, False, True, True, [], [], [], [], [], [], 
7, B, X7716Y3415, 90, 38.33, 28, 41, 6, 968 Smith PlazaLake MarieMK11 2QE, 8470003, RHU7@email.com, Molly Webster-Bowen, [], Mixed, [], True, True, True, False, Bus, Chapel, True, False, True, [], [], [], [], [], [], 
8, A, X5453Y4943, 365, 17.31, 28, 58, 6, 936 Shaun RoadsTracylandBB44 0NG, 8016652, RHU8@email.com, Callum Ahmed, [], Mixed, [], False, False, False, True, Bus, Chapel + Prayer room, True, True, True, [], [], [], [], [], [], 
9, A, X1893Y223, 180, 44.36, 28, 62, 7, 796 Brenda RadialLake AngelafurtL8 8TT, 9564992, RHU9@email.com, Mrs Rosie Murray, [], Female, [], False, False, False, True, None, Chapel + Prayer room, False, True, False, [], [], [], [], [], [], 
